GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ComputationTimes(Copy (ms)),ComputationTimes(Agent),ComputationTimes(Actions Available Compute (ms)),ComputationTimes(Player),ComputationTimes(Next (ms)),ComputationTimes(Agent (ms))
234785527,Azul,3,ACTION_TAKEN,27,25,2,60,0.0501,RuleBased,0.0067,0,0.0116,0.0252
234785527,Azul,3,ACTION_TAKEN,28,26,2,60,0.049,OSLA,0.006,1,0.0158,0.8298
234785527,Azul,3,ACTION_TAKEN,29,27,2,60,0.0535,RuleBased,0.0045,0,0.0168,0.0235
234785527,Azul,3,ACTION_TAKEN,30,28,2,60,0.0531,OSLA,0.004,1,0.016,0.2664
234785527,Azul,4,ACTION_TAKEN,31,28,2,60,0.0525,RuleBased,0.0032,0,0.0285,0.2664
234785527,Azul,4,ACTION_TAKEN,32,29,2,60,0.0537,RuleBased,0.0081,0,0.0163,0.033
234785527,Azul,4,ACTION_TAKEN,33,30,2,60,0.0543,OSLA,0.0074,1,0.0136,1.7133
234785527,Azul,4,ACTION_TAKEN,34,31,2,60,0.037,RuleBased,0.0068,0,0.0125,0.0378
234785527,Azul,4,ACTION_TAKEN,35,32,2,60,0.0383,OSLA,0.0037,1,0.013,0.7672
234785527,Azul,4,ACTION_TAKEN,36,33,2,60,0.0343,RuleBased,0.004,0,0.0083,0.021
234785527,Azul,4,ACTION_TAKEN,37,34,2,60,0.031,OSLA,0.0032,1,0.0096,0.4772
234785527,Azul,4,ACTION_TAKEN,38,35,2,60,0.032,RuleBased,0.0032,0,0.0105,0.0171
234785527,Azul,4,ACTION_TAKEN,39,36,2,60,0.0312,OSLA,0.0026,1,0.009,0.2911
234785527,Azul,4,ACTION_TAKEN,40,37,2,60,0.0303,RuleBased,0.0029,0,0.01,0.013
234785527,Azul,4,ACTION_TAKEN,41,38,2,60,0.0285,OSLA,0.0021,1,0.0097,0.1114
234785527,Azul,5,ACTION_TAKEN,42,38,2,60,0.0281,RuleBased,0.0018,0,0.019,0.1114
234785527,Azul,5,ACTION_TAKEN,43,39,2,60,0.0317,RuleBased,0.0051,0,0.0094,0.023
234785527,Azul,5,ACTION_TAKEN,44,40,2,60,0.0302,OSLA,0.0042,1,0.0121,0.954
234785527,Azul,5,ACTION_TAKEN,45,41,2,60,0.0425,RuleBased,0.0058,0,0.0129,0.0287
234785527,Azul,5,ACTION_TAKEN,46,42,2,60,0.0423,OSLA,0.0047,1,0.0138,0.7506
234785527,Azul,5,ACTION_TAKEN,47,43,2,60,0.0417,RuleBased,0.0049,0,0.0105,0.0434
234785527,Azul,5,ACTION_TAKEN,48,44,2,60,0.0446,OSLA,0.0043,1,0.0129,0.5127
234785527,Azul,5,ACTION_TAKEN,49,45,2,60,0.0577,RuleBased,0.0074,0,0.0171,0.0501
234785527,Azul,5,ACTION_TAKEN,50,46,2,60,0.0429,OSLA,0.0027,1,0.0094,0.1671
234785527,Azul,5,ACTION_TAKEN,51,47,2,60,0.0311,RuleBased,0.0023,0,0.0489,0.0192
234785527,Azul,5,ACTION_TAKEN,52,47,2,60,0.0513,OSLA,0.0038,1,0.0479,0.0192
-1360544799,Azul,1,ACTION_TAKEN,1,1,2,61,0.0316,RuleBased,0.0101,0,0.0242,0.0368
-1360544799,Azul,1,ACTION_TAKEN,2,2,2,61,0.0302,OSLA,0.0046,1,0.0144,1.9854
-1360544799,Azul,1,ACTION_TAKEN,3,3,2,61,0.0296,RuleBased,0.0054,0,0.0094,0.0231
-1360544799,Azul,1,ACTION_TAKEN,4,4,2,61,0.0271,OSLA,0.0042,1,0.0073,2.5143
-1360544799,Azul,1,ACTION_TAKEN,5,5,2,61,0.0248,RuleBased,0.0035,0,0.0111,0.0252
-1360544799,Azul,1,ACTION_TAKEN,6,6,2,61,0.0214,OSLA,0.0028,1,0.0077,0.7551
-1360544799,Azul,1,ACTION_TAKEN,7,7,2,61,0.0205,RuleBased,0.0027,0,0.0063,0.0163
-1360544799,Azul,1,ACTION_TAKEN,8,8,2,61,0.026,OSLA,0.0037,1,0.0069,0.5068
-1360544799,Azul,1,ACTION_TAKEN,9,9,2,61,0.0196,RuleBased,0.0019,0,0.0067,0.0082
-1360544799,Azul,1,ACTION_TAKEN,10,10,2,61,0.0194,OSLA,0.0016,1,0.006,0.1413
-1360544799,Azul,2,ACTION_TAKEN,11,10,2,61,0.0186,RuleBased,0.0014,0,0.0116,0.1413
-1360544799,Azul,2,ACTION_TAKEN,12,11,2,61,0.0236,RuleBased,0.0035,0,0.0073,0.0225
-1360544799,Azul,2,ACTION_TAKEN,13,12,2,61,0.0318,OSLA,0.0035,1,0.006,0.6907
-1360544799,Azul,2,ACTION_TAKEN,14,13,2,61,0.0213,RuleBased,0.0037,0,0.0113,0.0176
-1360544799,Azul,2,ACTION_TAKEN,15,14,2,61,0.0239,OSLA,0.0027,1,0.0065,0.3967
-1360544799,Azul,2,ACTION_TAKEN,16,15,2,61,0.0255,RuleBased,0.0025,0,0.0111,0.0108
-1360544799,Azul,2,ACTION_TAKEN,17,16,2,61,0.0368,OSLA,0.0023,1,0.0063,0.1451
-1360544799,Azul,2,ACTION_TAKEN,18,17,2,61,0.0228,RuleBased,0.002,0,0.0081,0.0067
-1360544799,Azul,2,ACTION_TAKEN,19,18,2,61,0.0242,OSLA,0.0018,1,0.0062,0.0551
-1360544799,Azul,3,ACTION_TAKEN,20,18,2,61,0.0189,RuleBased,0.0013,0,0.0118,0.0551
-1360544799,Azul,3,ACTION_TAKEN,21,19,2,61,0.0199,RuleBased,0.0036,0,0.0062,0.0122
-1360544799,Azul,3,ACTION_TAKEN,22,20,2,61,0.0215,OSLA,0.0035,1,0.0076,1.1931
-1360544799,Azul,3,ACTION_TAKEN,23,21,2,61,0.0244,RuleBased,0.0039,0,0.0082,0.0206
